L,batch,censored_at_start,confirmed_strict_notch,cost_rows_per_ess,ess_total,mean_displacement,mean_sq_error_per_dim,mixing_tax,passes_strict,sampler,se_log_cost,status,step_size,tau_clean_trajectories,tau_trajectories,temperature,wall_seconds
,1,,,,,,,,,rt,,no_frontier,,,,,
,4,,,,,,,,,rt,,no_frontier,,,,,
118,16,False,12,20558.287392861126,12037.186331286133,1.593915949879442,0.03136503771950721,10.296280471152935,False,rt,0.0033907356038801626,confirmed,0.013258252147247778,1.0575589347768097,10.888923407235767,1.0388737238612857,308.41794079204556
42,64,False,9,25214.605721829314,13972.914741830798,1.0355943392473432,0.013240193030631373,9.12502526298827,False,rt,0.002560621465339646,confirmed,0.037500000000000026,1.0279898856086973,9.380433676275786,1.0418976374082338,175.6405225408962
21,256,False,6,43847.89148554463,16070.170038445298,0.3750559328753472,0.0017366290467283577,8.005737711965962,True,rt,0.004593434019122812,confirmed,0.07500000000000004,1.018798030670998,8.156229815019463,1.0335873248810497,233.24974266602658
10,1024,False,4,81920.0,16384.0,0.1286491917427884,0.0002043285745194165,6.640748676472687,True,rt,0.0,confirmed,0.15000000000000005,1.2046834460612799,8.0,1.0269301258539116,316.99149954190943
4,4096,False,1,132193.6917139496,16244.978259982954,0.06276771576549646,4.863933509158213e-05,8.068462629025245,True,rt,0.004376960400303401,confirmed,0.4242640687119285,1.0,8.068462629025245,1.0276758990012802,522.6772964999545
4,,False,1,68040.0,8192.0,0.09334091241440766,0.0001075620485228904,,True,rt,0.0,confirmed,0.4242640687119285,,1.0,0.9705465766493941,1.2681819159770384
,1,,,,,,,,,hmc,,no_frontier,,,,,
,4,,,,,,,,,hmc,,no_frontier,,,,,
21447,16,False,26,347685.86590102135,8085.175325476877,0.10423258350343353,0.00013412878350370673,1.0096972188331135,True,hmc,0.006295243469993232,confirmed,7.324218750000007e-05,1.0034814338109463,1.0132124128695776,1.0488678171212389,1526.2758375840494
7583,64,False,23,487115.8897166594,8161.6633493777645,0.10226302795610816,0.0001291077393426143,1.0037169691181331,True,hmc,0.0021550617750936696,confirmed,0.00020716018980074653,1.0,1.0037169691181331,1.0379241385707836,1195.497600208968
1896,256,False,19,487324.3932392453,8159.24720199249,0.08930735009438377,9.846670099852876e-05,0.9949202191246398,True,hmc,0.004008839085095417,confirmed,0.0008286407592029861,1.0091404057469588,1.0040141936132922,1.039178640472142,1001.5798193339724
474,1024,False,15,486421.9435151354,8174.384903908591,0.09457032048384605,0.000110414142177992,1.0020581892050926,True,hmc,0.0012479480783016764,confirmed,0.0033145630368119445,1.0000965260795578,1.0021549139535852,1.036694713710932,726.5693996669725
118,4096,False,11,494485.9938591984,8007.148888280583,0.09065973984595727,0.00010147146208563769,1.0147983492100028,True,hmc,0.010591567246899051,confirmed,0.013258252147247778,1.0081665584814303,1.0230857592756852,1.0356012199294742,776.7197144579841
4,,False,1,68040.0,8192.0,0.08000720118821458,7.902657088853635e-05,,True,hmc,0.0,confirmed,0.4242640687119285,,1.0,0.9553437399709683,0.9371291249990463
